rel_path	override_collection
items/ebfe/15de4da7fd83eb0c8952d61dc01bb1dc/BOGGY_CREEK.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/15ecb29dd9f3970362db4c82a05d3555/PIN_OAK_CREEK_SOUTH_TRIB_15_1.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/164a16963e0e5eb3380e4d2b4792213d/SANDY_BRANCH.json	ble_11140101_Boisd_ArcIsland
items/ebfe/1673b5fb29a2dfb806595112905a59f6/UNT_113_IN_BDAR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/16b03c2aeb4e1f140c2c320871a26c0c/UNT_89_in_Beason_Cr_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/16d708b55eb14b107a797e88659eb575/UNT_133_IN_BDAR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/16ddfdc39f3e0dc465481b2ec402626a/UNT_027_in_PCW.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/16fe82d0dee72af6e739b7d0ffd39735/CRADDOCK_CREEK.json	ble_11140101_Boisd_ArcIsland
items/ebfe/1713693a7a4a4aba25f88396d144cc5d/BROWN_CREEK.json	ble_11140101_Boisd_ArcIsland
items/ebfe/17453632fda1233ff915be1f0d8f5fa3/UNT_113_in_Deer_Creek_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/17456a03b5592a360dd192bf3e45ea3d/UNT046_IN_SNCR.json	ble_11140101_Boisd_ArcIsland
items/ebfe/174b6f0bf8223b9f147366d7e0d800e5/UNT_124_in_New_Year_Cr_Watershed.json	ble_12070101_LowerBrazosLittleBrazos
items/ebfe/174f11b23f9cd0dd889322a1347e51a9/UNT078_IN_GBRR.json	ble_11140101_Boisd_ArcIsland
